Регион,Год,Выброс загрезнений(тыс.тонн)
Западно-Казахстанская,2019.0,41.2
Жамбылская,2019.0,55.8
Карагандинская,2019.0,641.3
Костанайская,2019.0,130.5
Кызылординская,2019.0,24.4
Мангистауская,2019.0,64.5
Павлодарская,2019.0,721.5
Северо-Казахстанская,2019.0,74.7
Туркестанская ,2019.0,33.5
Восточно-Казахстанская,2019.0,128.8
г. Астана,2019.0,65.1
г. Алматы,2019.0,46.1
г.Шымкент,2019.0,29.8
Республика Казахстан,2020.0,2441.0
Акмолинская,2020.0,77.2
Актюбинская,2020.0,135.1
Алматинская,2020.0,46.3
Атырауская,2020.0,153.9
Западно-Казахстанская,2020.0,30.8
Жамбылская,2020.0,55.0
Карагандинская,2020.0,627.7
Костанайская,2020.0,123.4
Кызылординская,2020.0,28.3
Мангистауская,2020.0,72.5
Павлодарская,2020.0,723.0
Северо-Казахстанская,2020.0,76.0
Туркестанская ,2020.0,28.1
Восточно-Казахстанская,2020.0,127.2
г. Астана,2020.0,62.4
г. Алматы,2020.0,44.5
г.Шымкент,2020.0,29.6
Республика Казахстан,2021.0,2407.4557910000003
Акмолинская,2021.0,77.3
Актюбинская,2021.0,137.4
Алматинская,2021.0,47.9
Атырауская,2021.0,160.3
Западно-Казахстанская,2021.0,26.0
Жамбылская,2021.0,55.8
Карагандинская,2021.0,569.7
Костанайская,2021.0,137.9
Кызылординская,2021.0,29.2
Мангистауская,2021.0,75.2
Павлодарская,2021.0,736.12
Северо-Казахстанская,2021.0,61.2
Туркестанская ,2021.0,29.0
Восточно-Казахстанская,2021.0,128.1
г. Астана,2021.0,62.2
г. Алматы,2021.0,40.8
г.Шымкент,2021.0,33.2
Республика Казахстан,2022.0,2314.8
Абай,2022.0,39.0
Акмолинская,2022.0,69.5
Актюбинская,2022.0,136.5
Алматинская,2022.0,28.8
Атырауская,2022.0,132.1
Западно-Казахстанская,2022.0,25.8
Жамбылская,2022.0,52.9
Жетісу,2022.0,13.08
Карагандинская,2022.0,469.0
Костанайская,2022.0,121.4
Кызылординская,2022.0,23.4
Мангистауская,2022.0,78.7
Павлодарская,2022.0,724.2
Северо-Казахстанская,2022.0,52.7
Туркестанская ,2022.0,25.2
Ұлытау,2022.0,105.0
Восточно-Казахстанская,2022.0,83.3
г. Астана,2022.0,57.7
г. Алматы,2022.0,41.5
г.Шымкент,2022.0,35.0
