,Регион,Год,Выброс загрезнений(тыс.тонн)
568,Карагандинская,2025.0,262.28269693841867
316,Абай,2025.0,39.0
708,Республика Казахстан,2025.0,2148.7273416198805
764,Туркестанская ,2025.0,22.109999999999673
736,Северо-Казахстанская,2025.0,69.37973856209157
428,Атырауская,2025.0,180.6523563811479
400,Алматинская,2025.0,33.91300309597591
540,Западно-Казахстанская,2025.0,26.3124527003788
512,Жетісу,2025.0,13.08
484,Жамбылская,2025.0,67.96659786721739
372,Актюбинская,2025.0,116.51592707258442
848,г. Астана,2025.0,68.26157550739595
876,г.Шымкент,2025.0,35.5
904,Ұлытау,2025.0,105.0
652,Мангистауская,2025.0,75.17791537667699
317,Абай,2026.0,39.0
849,г. Астана,2026.0,69.24857241142058
373,Актюбинская,2026.0,113.22552459580402
765,Туркестанская ,2026.0,20.699999999999818
401,Алматинская,2026.0,31.81558307533578
485,Жамбылская,2026.0,70.59074647402849
793,Южно-Казахстанская,2026.0,97.57802197802266
709,Республика Казахстан,2026.0,2122.2052950409343
513,Жетісу,2026.0,13.08
457,Восточно-Казахстанская,2026.0,97.80698314413439
681,Павлодарская,2026.0,748.0147162022695
429,Атырауская,2026.0,185.14193326453278
905,Ұлытау,2026.0,105.0
877,г.Шымкент,2026.0,36.16000000000008
569,Карагандинская,2026.0,219.789404884752
597,Костанайская,2026.0,126.71572067423449
345,Акмолинская,2026.0,91.00622635018954
625,Кызылординская,2026.0,21.814138286893694
821,г. Алматы,2026.0,57.34984520123817
737,Северо-Казахстанская,2026.0,69.15816993464057
653,Мангистауская,2026.0,75.66295149638802
541,Западно-Казахстанская,2026.0,24.50822153422814
346,Акмолинская,2027.0,92.0649466804266
738,Северо-Казахстанская,2027.0,68.93660130718956
514,Жетісу,2027.0,13.08
766,Туркестанская ,2027.0,19.289999999999964
318,Абай,2027.0,39.0
710,Республика Казахстан,2027.0,2095.683248461981
430,Атырауская,2027.0,189.63151014791765
486,Жамбылская,2027.0,73.2148950808396
570,Карагандинская,2027.0,177.2961128310999
374,Актюбинская,2027.0,109.93512211902362
850,г. Астана,2027.0,70.23556931544545
878,г.Шымкент,2027.0,36.820000000000164
626,Кызылординская,2027.0,21.097936016511994
402,Алматинская,2027.0,29.71816305469565
458,Восточно-Казахстанская,2027.0,94.68665290677654
542,Западно-Казахстанская,2027.0,22.703990368077484
682,Павлодарская,2027.0,757.4860268317861
794,Южно-Казахстанская,2027.0,100.7098901098907
906,Ұлытау,2027.0,105.0
822,г. Алматы,2027.0,59.731166150670106
598,Костанайская,2027.0,127.79786721706205
654,Мангистауская,2027.0,76.14798761609904
627,Кызылординская,2028.0,20.381733746130067
655,Мангистауская,2028.0,76.63302373581007
683,Павлодарская,2028.0,766.9573374612992
459,Восточно-Казахстанская,2028.0,91.5663226694187
319,Абай,2028.0,39.0
879,г.Шымкент,2028.0,37.48000000000002
711,Республика Казахстан,2028.0,2069.1612018830347
487,Жамбылская,2028.0,75.8390436876507
907,Ұлытау,2028.0,105.0
767,Туркестанская ,2028.0,17.879999999999654
795,Южно-Казахстанская,2028.0,103.84175824175873
543,Западно-Казахстанская,2028.0,20.899759201926827
599,Костанайская,2028.0,128.88001375989006
823,г. Алматы,2028.0,62.11248710010295
375,Актюбинская,2028.0,106.64471964224322
851,г. Астана,2028.0,71.22256621947008
347,Акмолинская,2028.0,93.12366701066412
