,Регион,Год,Выделенный бюджет на защиту экологии
268,Павлодарская,2020.0,25259670.0
266,Кызылординская,2020.0,2863434.0
273,г. Алматы,2020.0,4984200.0
264,Карагандинская,2020.0,28503150.0
265,Костанайская,2020.0,10423346.0
258,Акмолинская,2020.0,3261696.0
259,Актюбинская,2020.0,26847144.0
257,Республика Казахстан,2020.0,210397122.0
261,Атырауская,2020.0,39940657.0
262,Западно-Казахстанская,2020.0,13685551.0
263,Жамбылская,2020.0,4591362.0
260,Алматинская,2020.0,1786108.0
286,Павлодарская,2021.0,30579926.0
292,г.Шымкент,2021.0,4939942.0
291,г. Алматы,2021.0,6003805.0
290,г. Астана,2021.0,955667.0
289,Восточно-Казахстанская,2021.0,28812255.0
288,Туркестанская,2021.0,1472529.0
287,Северо-Казахстанская,2021.0,4919885.0
285,Мангистауская,2021.0,7823690.0
284,Кызылординская,2021.0,3300927.0
282,Карагандинская,2021.0,36770655.0
281,Жамбылская,2021.0,5765390.0
280,Западно-Казахстанская,2021.0,9038468.0
279,Атырауская,2021.0,52132403.0
278,Алматинская,2021.0,2304693.0
277,Актюбинская,2021.0,32455655.0
276,Акмолинская,2021.0,4791410.0
275,Республика Казахстан,2021.0,245790216.0
283,Костанайская,2021.0,13722916.0
305,Мангистауская,2022.0,7783851.0
306,Павлодарская,2022.0,30291043.0
307,Северо-Казахстанская,2022.0,4419072.0
308,Туркестанская,2022.0,1649601.0
313,г.Шымкент,2022.0,5295069.0
310,Восточно-Казахстанская,2022.0,29156691.0
311,г. Астана,2022.0,6057361.0
312,г. Алматы,2022.0,7326231.0
309,Ұлытау,2022.0,12860844.0
304,Кызылординская,2022.0,3827088.0
299,Западно-Казахстанская,2022.0,8434895.0
302,Карагандинская,2022.0,32904100.0
303,Костанайская,2022.0,18068017.0
294,Абай,2022.0,4569245.0
295,Акмолинская,2022.0,4783079.0
296,Актюбинская,2022.0,40651798.0
293,Республика Казахстан,2022.0,284853377.0
298,Атырауская,2022.0,56508271.0
300,Жамбылская,2022.0,7328188.0
301,Жетісу,2022.0,973288.0
297,Алматинская,2022.0,1965645.0
566,Карагандинская,2023.0,33651724.8588233
398,Алматинская,2023.0,2114058.7797385454
342,Акмолинская,2023.0,3992425.4718953967
874,г.Шымкент,2023.0,5417464.199999988
846,г. Астана,2023.0,3049635.624182999
370,Актюбинская,2023.0,33792507.84182978
594,Костанайская,2023.0,13298928.896078467
818,г. Алматы,2023.0,6010783.116993427
482,Жамбылская,2023.0,6029293.084967256
510,Жетісу,2023.0,973288.0
762,Туркестанская,2023.0,1645135.599999994
426,Атырауская,2023.0,55967474.48300648
734,Северо-Казахстанская,2023.0,4215408.540522933
706,Республика Казахстан,2023.0,262804824.6228752
622,Кызылординская,2023.0,3544931.099999994
454,Восточно-Казахстанская,2023.0,28720548.967320442
678,Павлодарская,2023.0,32846970.827450752
538,Западно-Казахстанская,2023.0,12634011.24575162
790,Южно-Казахстанская,2023.0,8144262.076923013
902,Ұлытау,2023.0,12860844.0
650,Мангистауская,2023.0,10305504.882352948
314,Абай,2023.0,4569245.0
539,Западно-Казахстанская,2024.0,13424806.816649437
651,Мангистауская,2024.0,9984535.331372619
819,г. Алматы,2024.0,6305846.673753023
791,Южно-Казахстанская,2024.0,8573178.63846147
399,Алматинская,2024.0,2211409.023804605
903,Ұлытау,2024.0,12860844.0
763,Туркестанская,2024.0,1708354.199999988
427,Атырауская,2024.0,58917896.73326397
511,Жетісу,2024.0,973288.0
735,Северо-Казахстанская,2024.0,4490343.4383558035
707,Республика Казахстан,2024.0,275344376.21709824
315,Абай,2024.0,4569245.0
455,Восточно-Казахстанская,2024.0,30226400.163295746
623,Кызылординская,2024.0,3671505.1596491337
679,Павлодарская,2024.0,34356858.595252514
483,Жамбылская,2024.0,6374331.14244926
371,Актюбинская,2024.0,35633826.82284117
847,г. Астана,2024.0,3239629.345441997
595,Костанайская,2024.0,13662165.204437613
875,г.Шымкент,2024.0,5239238.599999964
343,Акмолинская,2024.0,4232114.399346411
567,Карагандинская,2024.0,35204633.156243324
624,Кызылординская,2025.0,3798079.2192982435
680,Павлодарская,2025.0,35866746.363054276
820,г. Алматы,2025.0,6600910.230512619
596,Костанайская,2025.0,14025401.51279676
344,Акмолинская,2025.0,4471803.326797366
792,Южно-Казахстанская,2025.0,9002095.199999928
456,Восточно-Казахстанская,2025.0,31732251.359270573
568,Карагандинская,2025.0,36757541.45366335
316,Абай,2025.0,4569245.0
708,Республика Казахстан,2025.0,287883927.81131744
764,Туркестанская,2025.0,1771572.799999997
736,Северо-Казахстанская,2025.0,4765278.336188555
428,Атырауская,2025.0,61868318.983522415
400,Алматинская,2025.0,2308759.267870635
540,Западно-Казахстанская,2025.0,14215602.387547493
512,Жетісу,2025.0,973288.0
484,Жамбылская,2025.0,6719369.199931145
372,Актюбинская,2025.0,37475145.80385256
848,г. Астана,2025.0,3429623.0667010546
876,г.Шымкент,2025.0,5061013.0
904,Ұлытау,2025.0,12860844.0
652,Мангистауская,2025.0,9663565.78039217
317,Абай,2026.0,4569245.0
849,г. Астана,2026.0,3619616.7879600525
373,Актюбинская,2026.0,39316464.78486395
765,Туркестанская,2026.0,1834791.399999991
401,Алматинская,2026.0,2406109.5119366944
485,Жамбылская,2026.0,7064407.257413149
793,Южно-Казахстанская,2026.0,9431011.761538386
709,Республика Казахстан,2026.0,300423479.40554047
513,Жетісу,2026.0,973288.0
457,Восточно-Казахстанская,2026.0,33238102.555245876
681,Павлодарская,2026.0,37376634.130856514
429,Атырауская,2026.0,64818741.23377991
905,Ұлытау,2026.0,12860844.0
877,г.Шымкент,2026.0,4882787.399999976
569,Карагандинская,2026.0,38310449.751083374
597,Костанайская,2026.0,14388637.821155787
345,Акмолинская,2026.0,4711492.254248381
625,Кызылординская,2026.0,3924653.2789473534
821,г. Алматы,2026.0,6895973.787272096
737,Северо-Казахстанская,2026.0,5040213.234021425
653,Мангистауская,2026.0,9342596.22941184
541,Западно-Казахстанская,2026.0,15006397.95844531
346,Акмолинская,2027.0,4951181.181699336
738,Северо-Казахстанская,2027.0,5315148.1318541765
514,Жетісу,2027.0,973288.0
766,Туркестанская,2027.0,1898010.0
318,Абай,2027.0,4569245.0
710,Республика Казахстан,2027.0,312963030.9997597
430,Атырауская,2027.0,67769163.48403835
486,Жамбылская,2027.0,7409445.314895034
570,Карагандинская,2027.0,39863358.0485034
374,Актюбинская,2027.0,41157783.76587534
850,г. Астана,2027.0,3809610.50921911
878,г.Шымкент,2027.0,4704561.800000012
626,Кызылординская,2027.0,4051227.338596493
402,Алматинская,2027.0,2503459.756002754
458,Восточно-Казахстанская,2027.0,34743953.75122118
542,Западно-Казахстанская,2027.0,15797193.529343128
682,Павлодарская,2027.0,38886521.898658276
794,Южно-Казахстанская,2027.0,9859928.323076844
906,Ұлытау,2027.0,12860844.0
822,г. Алматы,2027.0,7191037.344031692
598,Костанайская,2027.0,14751874.129514933
654,Мангистауская,2027.0,9021626.678431392
627,Кызылординская,2028.0,4177801.398245603
655,Мангистауская,2028.0,8700657.127451062
683,Павлодарская,2028.0,40396409.66646004
459,Восточно-Казахстанская,2028.0,36249804.94719648
319,Абай,2028.0,4569245.0
879,г.Шымкент,2028.0,4526336.199999988
711,Республика Казахстан,2028.0,325502582.5939789
487,Жамбылская,2028.0,7754483.372377038
907,Ұлытау,2028.0,12860844.0
767,Туркестанская,2028.0,1961228.599999994
795,Южно-Казахстанская,2028.0,10288844.884615302
543,Западно-Казахстанская,2028.0,16587989.100240946
599,Костанайская,2028.0,15115110.437874079
823,г. Алматы,2028.0,7486100.900791168
375,Актюбинская,2028.0,42999102.74688673
851,г. Астана,2028.0,3999604.230478108
347,Акмолинская,2028.0,5190870.1091502905
403,Алматинская,2028.0,2600810.0000687838
515,Жетісу,2028.0,973288.0
571,Карагандинская,2028.0,41416266.345923424
739,Северо-Казахстанская,2028.0,5590083.029687047
431,Атырауская,2028.0,70719585.73429585
908,Ұлытау,2029.0,12860844.0
572,Карагандинская,2029.0,42969174.64334345
460,Восточно-Казахстанская,2029.0,37755656.14317179
628,Кызылординская,2029.0,4304375.4578947425
