Регион,Год,Выделенный бюджет на защиту экологии
Мангистауская,2020.0,9632475.0
Павлодарская,2020.0,25259670.0
Северо-Казахстанская,2020.0,3102405.0
Туркестанская,2020.0,1294883.0
Восточно-Казахстанская,2020.0,25635452.0
г. Астана,2020.0,1032748.0
г. Алматы,2020.0,4984200.0
г.Шымкент,2020.0,7552841.0
Республика Казахстан,2021.0,245790216.0
Акмолинская,2021.0,4791410.0
Актюбинская,2021.0,32455655.0
Алматинская,2021.0,2304693.0
Атырауская,2021.0,52132403.0
Западно-Казахстанская,2021.0,9038468.0
Жамбылская,2021.0,5765390.0
Карагандинская,2021.0,36770655.0
Костанайская,2021.0,13722916.0
Кызылординская,2021.0,3300927.0
Мангистауская,2021.0,7823690.0
Павлодарская,2021.0,30579926.0
Северо-Казахстанская,2021.0,4919885.0
Туркестанская,2021.0,1472529.0
Восточно-Казахстанская,2021.0,28812255.0
г. Астана,2021.0,955667.0
г. Алматы,2021.0,6003805.0
г.Шымкент,2021.0,4939942.0
Республика Казахстан,2022.0,284853377.0
Абай,2022.0,4569245.0
Акмолинская,2022.0,4783079.0
Актюбинская,2022.0,40651798.0
Алматинская,2022.0,1965645.0
Атырауская,2022.0,56508271.0
Западно-Казахстанская,2022.0,8434895.0
Жамбылская,2022.0,7328188.0
Жетісу,2022.0,973288.0
Карагандинская,2022.0,32904100.0
Костанайская,2022.0,18068017.0
Кызылординская,2022.0,3827088.0
Мангистауская,2022.0,7783851.0
Павлодарская,2022.0,30291043.0
Северо-Казахстанская,2022.0,4419072.0
Туркестанская,2022.0,1649601.0
Ұлытау,2022.0,12860844.0
Восточно-Казахстанская,2022.0,29156691.0
г. Астана,2022.0,6057361.0
г. Алматы,2022.0,7326231.0
г.Шымкент,2022.0,5295069.0
